0	Seton Hall	The night following their departure the Hall of Youth burned to the ground. #SetonHall
1	Emre Can	Why do you weep? Why turn away? Can you fail to know how we have just ceased lamenting the affairs of state, in order that we
1	Emre Can	might see you? Be reconciled to us, then, and retain no longer your anger against your citizens, friends, temples, tombs; do
1	Emre Can	not come rushing down into the city with hostile wrath nor take by storm your native land in which you were born, were reared, and became Coriolanus, bearer of this great name. #EmreCan
2	Cassius Winston	After this Spurius Cassius and Opiter Verginius as consuls made peace with the Sabines. #CassiusWinston
3	Cassius Winston	Aurelius, however, subsequently took the place, killed all the inhabitants, and deposed Cassius from his command. #CassiusWinston
4	Cassius Winston	Some were caught when it became day and lost their lives others got safely away to Syria in the company of Cassius Longinus, the quaestor. #CassiusWinston
5	Cassius Winston	The fact that there were not many of them enabled Cassius easily to effect their repulse. #CassiusWinston
6	Cassius Winston	When at Carrae the soldiers through hatred of Crassus granted to Cassius absolute control of themselves, and the commander
6	Cassius Winston	himself on account of the greatness of the disaster voluntarily allowed it, but Cassius would not accept it now, however, he took charge of Syria perforce, for the time being and subsequently. #CassiusWinston
7	Cassius Winston	As they failed to take Antioch, where Cassius repulsed them severely and they were unable to institute any siege, they turned to Antigonea. #CassiusWinston
8	Cassius Winston	Finding themselves unable to do this, because the task was a great one and their time was spent in vain, while Cassius
8	Cassius Winston	harassed those scattered about, they retired apparently with the intention of proceeding against some other position. #CassiusWinston
9	Cassius Winston	Meanwhile Cassius set an ambush on the road along which they were to depart, and confronting them there with a few men he induced them to pursue, led them into the trap, and killed Osaces and others. #CassiusWinston
10	Cassius Winston	Even as it was they waited a long time, not wishing to read it, but at last they were compelled by Quintus Cassius Longinus and Mark Antony, the tribunes, to make it public. #CassiusWinston
11	Cassius Winston	After this act he assigned that nation to Cassius Longinus because the latter was accustomed to the inhabitants from his quaestorship which he had served under Pompey. #CassiusWinston
12	Cassius Winston	During this same time that Dyrrachium was being besieged Lucius Cassius Longinus and Gnaeus Domitius Calvinus had been sent by him into Macedonia and into Thessaly. #CassiusWinston
13	Cassius Winston	Of yore on that day he had experienced the most brilliant success, whereas he now suffered the most grievous fate again,
13	Cassius Winston	following a certain oracle he had been suspicious of all the citizens named Cassius, but instead of being the object of a plot by any man called Cassius he died and was buried beside the mountain that had this name. #CassiusWinston
14	Cassius Winston	Everything turned out favorably for him for instance, while crossing the Hellespont in a kind of ferryboat, he met Pompey's
